p,cooperativity,gpg_mode,factor,eig_index,num_pulses,theta_l,background_theta,delta_l,state_fidelity,state_infidelity,trace_state,phase_aligned_state_error,source,sequence_file
0.0005,100000000.0,erroneous,feedback U_3,2,11,-3.140292651857663,0.0,-3.140292651857663,0.9896046920880035,0.010395307911996499,0.9945944417129149,,optimized feedback U_3:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_3__eig_02.csv
0.0005,100000000.0,erroneous,feedback U_3,3,9,3.140292651857663,0.0,3.1402926518576635,0.9910885744121147,0.008911425587885269,0.9969608239597348,,optimized feedback U_3:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_3__eig_03.csv
0.0005,100000000.0,erroneous,feedback U_3,4,7,1.6986727808523494,0.0,1.6986727808523492,0.9917863100061761,0.00821368999382388,0.9963148192192905,,optimized feedback U_3:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_3__eig_04.csv
0.0005,100000000.0,erroneous,feedback U_3,5,9,-1.6986727808523494,0.0,-1.6986727808523494,0.9947489716073445,0.005251028392655455,0.9972753855136969,,optimized feedback U_3:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_3__eig_05.csv
0.0005,1000000000.0,erroneous,stage 0 split entangler,8,10,1.664765428089207e-17,1.5707963267948966,-1.5707963267948966,0.9963427384321606,0.0036572615678394094,0.9985630478997565,,optimized stage 0 split entangler:8 warm-start,sequences/p_5p000000000000em04__C_1p000ep09__stage_0_split_entangler__eig_08.csv
0.0005,1000000000.0,erroneous,stage 0 split entangler,9,11,3.213603196589359e-17,1.5707963267948966,-1.5707963267948966,0.9962996389129283,0.003700361087071724,0.998204790082998,,optimized stage 0 split entangler:9 warm-start,sequences/p_5p000000000000em04__C_1p000ep09__stage_0_split_entangler__eig_09.csv
0.0005,1000000000.0,erroneous,stage 1 split entangler,1,8,1.5707963267948966,0.0,1.5707963267948966,0.997195877814214,0.002804122185785962,0.999134773959557,,optimized stage 1 split entangler:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep09__stage_1_split_entangler__eig_01.csv
0.0005,1000000000.0,erroneous,stage 1 split entangler,2,8,1.5707963267948968,0.0,1.5707963267948966,0.9974463110084112,0.0025536889915888095,0.9993338507727425,,optimized stage 1 split entangler:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep09__stage_1_split_entangler__eig_02.csv
0.0005,1000000000.0,erroneous,feedback U_0,0,9,3.141592653589793,0.0,-3.141592653589793,0.9948526830592326,0.005147316940767421,0.9977336743406005,,optimized feedback U_0:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep09__feedback_u_0__eig_00.csv
0.0005,1000000000.0,erroneous,feedback U_0,2,9,-3.141592653589793,0.0,-3.141592653589793,0.9973071225061974,0.002692877493802648,0.9989214953944462,,optimized feedback U_0:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep09__feedback_u_0__eig_02.csv
0.0005,1000000000.0,erroneous,feedback U_0,3,9,-1.0431972350159253,0.0,-1.043197235015925,0.9965047283264266,0.0034952716735734413,0.9988840219155188,,optimized feedback U_0:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep09__feedback_u_0__eig_03.csv
