p,cooperativity,gpg_mode,factor,eig_index,pulse,alpha,beta,gamma,kappa,sequence_file
0.0005,1000000.0,erroneous,feedback U_0,3,2,0.39058665730923336,0.6711310107955532,-0.2481024414559488,3.138167259363409,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,3,3,-2.6916533049320726,-2.436733670325816,-2.858456834007435,0.558677370781963,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,3,4,-1.366822323406359,2.3321372641594875,-2.93503502234628,2.8480219688881525,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,3,5,1.9513721876526544,1.3478813845748623,2.6475985478184763,2.7181027157487616,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,3,6,1.5138316860975678,2.6783723478989905,2.1380429370018503,1.2447736569692374,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,3,7,0.1840148140099033,0.5424004547783308,-1.2068633979076695,0.10134823645631655,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,3,8,0.6014014148075789,1.1656215223765387,-0.23365536833292788,-1.2074380173244863,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,3,9,-0.579600886989314,0.19022735625696868,0.8890046461147444,1.2672702862518892,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,4,1,-0.05141597331734327,0.1652038204210118,1.0932888718171871,-6.5320208395035795e-09,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_0,4,2,1.590441663132136,1.6008065938685316,2.849009575036662,-1.8904003158875748e-10,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_0,4,3,1.4807582307783447,0.4422364702528205,2.936203478111056,0.45421221125736244,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_0,4,4,3.1403089965459814,2.9437072395791475,0.41071635898307235,0.8909526185629304,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_0,4,5,-0.43880577441480056,-0.9738009795786204,-2.8726008703420916,-2.079447871906884,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_0,4,6,0.6380237955060513,0.49480616173814573,0.6422031157738908,0.5260192898071632,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_0,4,7,3.0911772593496534,1.639450561777665,0.7881268980332965,0.41026731180403003,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_0,4,8,2.452619586156752,-0.9482235606333147,-1.2585757714023644,-0.23973907927908794,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_0,4,9,-3.0037918995479704,-3.141592653589793,-1.4789147434264471,2.1782845890512874,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,0,1,-2.6639787763849716,-2.806205461701625,0.638596640122369,1.286667788278443e-07,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,0,2,0.9960136174414018,-1.6177133885851234,0.30421903139037815,0.8701171906419614,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,0,3,1.3094310215871288,-0.22991969542673218,1.8028169856056657,2.0085681686238073,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,0,4,-1.0101890845619714,-1.7889400335663246,-0.36226400041378237,-1.5152864990320436,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,0,5,-2.4853685032490755,0.6957517756176025,2.6758512678579645,-1.7674633295727091,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,0,6,-1.6469406275224308,-0.6519482963952334,2.2988822537594378,2.671776300681031,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,0,7,2.5233800145510923,0.7222401719439175,-1.9352893339113595,-2.0216262572529717,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,0,8,2.966311041814099,2.8995717243239447,-2.8521636584788133,-1.384569259434532,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,1,1,-1.2240547807844868,1.954150141997827,0.01104825968106775,-0.0002721737940138479,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_1,1,2,-2.551718492319322,-2.9699110783370957,-2.8572415805653515,-1.1330136693504567,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_1,1,3,-0.5193579895899839,2.8807736445269705,0.5557747863894099,-1.2301626430591535,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_1,1,4,1.0545693736657693,-0.8983237932583878,1.4356811566791199,-0.3229228715685265,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
