p,factor,eig_index,num_pulses,theta_l,background_theta,delta_l,state_fidelity,state_infidelity,phase_aligned_state_error,source_file
1e-05,feedback U_2,7,10,3.141592653589793,0.0,-3.141592653589793,0.9999999999968046,3.1954439094761256e-12,1.7874790535445058e-06,sequences/p_1p000000000000em05__feedback_u_2__eig_07.csv
1e-05,feedback U_3,1,9,-3.1415559101415154,0.0,-3.1415559101415154,0.999999999998179,1.8209878049901818e-12,1.3494774131408729e-06,sequences/p_1p000000000000em05__feedback_u_3__eig_01.csv
1e-05,feedback U_3,2,9,3.1415559101415154,0.0,3.1415559101415154,0.9999999999990168,9.832135106080386e-13,9.914562418072403e-07,sequences/p_1p000000000000em05__feedback_u_3__eig_02.csv
1e-05,feedback U_3,4,11,3.141574282141215,0.0,3.1415742821412156,0.9999999999983644,1.6355805598777806e-12,1.2788719700725593e-06,sequences/p_1p000000000000em05__feedback_u_3__eig_04.csv
1e-05,feedback U_3,5,11,-3.141574282141215,0.0,-3.141574282141215,0.9999999999997125,2.8754776337791554e-13,5.361588919061328e-07,sequences/p_1p000000000000em05__feedback_u_3__eig_05.csv
1e-05,stage 0 split entangler,8,10,-4.55657487157046e-18,1.5707963267948966,-1.5707963267948966,0.9999999999984492,1.5507595207964187e-12,1.2454292036779983e-06,sequences/p_1p000000000000em05__stage_0_split_entangler__eig_08.csv
1e-05,stage 0 split entangler,9,9,3.8796201036120337e-17,1.5707963267948966,-1.5707963267948966,0.9999999999953662,4.633848860180478e-12,2.152584918499842e-06,sequences/p_1p000000000000em05__stage_0_split_entangler__eig_09.csv
1e-05,stage 1 split entangler,2,10,1.5707963267948968,0.0,1.5707963267948966,0.9999999999985809,1.419087070075875e-12,1.1912778150962825e-06,sequences/p_1p000000000000em05__stage_1_split_entangler__eig_02.csv
1e-05,stage 1 split entangler,4,10,1.570796326794897,0.0,1.5707963267948966,0.9999999999997506,2.4935609133081016e-13,4.993525580083998e-07,sequences/p_1p000000000000em05__stage_1_split_entangler__eig_04.csv
2.1544346900318823e-05,feedback U_0,0,9,-0.0001119549439917114,0.0,-0.00011195494399185435,0.9999915928598619,8.40714013805588e-06,0.0028995099255659405,sequences/p_2p154434690032em05__feedback_u_0__eig_00.csv
2.1544346900318823e-05,feedback U_0,1,9,0.00011195494399171929,0.0,0.00011195494399185435,0.9999999999986813,1.318722908649761e-12,1.148372719285574e-06,sequences/p_2p154434690032em05__feedback_u_0__eig_01.csv
2.1544346900318823e-05,feedback U_0,2,9,5.597566320325318e-05,0.0,5.5975663203255976e-05,0.9999999999982008,1.7992274337075287e-12,1.3413484094167202e-06,sequences/p_2p154434690032em05__feedback_u_0__eig_02.csv
2.1544346900318823e-05,feedback U_0,3,9,-5.5975663203224e-05,0.0,-5.5975663203255976e-05,0.9999999999969396,3.0604407896817065e-12,1.7494547867578838e-06,sequences/p_2p154434690032em05__feedback_u_0__eig_03.csv
2.1544346900318823e-05,feedback U_0,4,9,3.141592653589793,0.0,-3.141592653589793,0.9999999999975622,2.4378277174719187e-12,1.561304629342865e-06,sequences/p_2p154434690032em05__feedback_u_0__eig_04.csv
2.1544346900318823e-05,feedback U_0,6,8,3.141592653589793,0.0,-3.141592653589793,0.999999999994841,5.1589843508281774e-12,2.271351569932017e-06,sequences/p_2p154434690032em05__feedback_u_0__eig_06.csv
2.1544346900318823e-05,feedback U_1,0,8,-3.141592653589793,0.0,-3.141592653589793,0.9999999999978897,2.1103119252074976e-12,1.4528825342692343e-06,sequences/p_2p154434690032em05__feedback_u_1__eig_00.csv
2.1544346900318823e-05,feedback U_1,1,8,-1.1229639298659642,0.0,-1.1229639298659642,0.9999999999946496,5.350386800273554e-12,2.313056159887496e-06,sequences/p_2p154434690032em05__feedback_u_1__eig_01.csv
2.1544346900318823e-05,feedback U_1,2,8,1.122963929865964,0.0,1.1229639298659642,0.9999999999821345,1.7865486867663094e-11,4.2267364464163e-06,sequences/p_2p154434690032em05__feedback_u_1__eig_02.csv
2.1544346900318823e-05,feedback U_1,4,8,3.141592653589793,0.0,-3.141592653589793,0.9999999999895437,1.045630249052465e-11,3.2337150747011894e-06,sequences/p_2p154434690032em05__feedback_u_1__eig_04.csv
2.1544346900318823e-05,feedback U_1,5,8,-0.9163704046405573,0.0,-0.9163704046405572,0.9999999999883562,1.1643797037663717e-11,3.4123125848457538e-06,sequences/p_2p154434690032em05__feedback_u_1__eig_05.csv
2.1544346900318823e-05,feedback U_1,6,8,0.9163704046405573,0.0,0.9163704046405572,0.999999999997268,2.7320368189975852e-12,1.6529204894520413e-06,sequences/p_2p154434690032em05__feedback_u_1__eig_06.csv
2.1544346900318823e-05,feedback U_2,0,9,2.2742804841085675,0.0,2.2742804841085675,0.9999999999893918,1.060818100029337e-11,3.2571123569031646e-06,sequences/p_2p154434690032em05__feedback_u_2__eig_00.csv
2.1544346900318823e-05,feedback U_2,1,9,3.141592653589793,0.0,-3.141592653589793,0.9999999999980687,1.9313439736379223e-12,1.3897506536408292e-06,sequences/p_2p154434690032em05__feedback_u_2__eig_01.csv
2.1544346900318823e-05,feedback U_2,2,9,-2.274280484108567,0.0,-2.274280484108567,0.9999999999966009,3.3990588121923793e-12,1.8436120699053538e-06,sequences/p_2p154434690032em05__feedback_u_2__eig_02.csv
2.1544346900318823e-05,feedback U_2,3,9,1.33356237263746,0.0,1.3335623726374601,0.9999999999985036,1.496358592589786e-12,1.2231496619833263e-06,sequences/p_2p154434690032em05__feedback_u_2__eig_03.csv
2.1544346900318823e-05,feedback U_2,4,9,-1.33356237263746,0.0,-1.33356237263746,0.9999999999923315,7.668532475690881e-12,2.769331113360943e-06,sequences/p_2p154434690032em05__feedback_u_2__eig_04.csv
2.1544346900318823e-05,feedback U_2,5,9,0.5644623420654775,0.0,0.5644623420654775,0.9999999999980462,1.9537704787353505e-12,1.3978078962808245e-06,sequences/p_2p154434690032em05__feedback_u_2__eig_05.csv
