p,cooperativity,factor,eig_index,pulse_index,alpha,beta,gamma,kappa,detuning,cache_key
0.0005,1000000.0,feedback U_1,2,3,-3.031596621152924,-2.721546064306419,-0.43854509060834856,1.9784317270094034,1.4177066061790038,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,2,4,-3.0338553568505833,1.7132492454599537,1.642701404075035,0.36058792735909034,1.2294643935992269,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,2,5,1.4893372049130973,-2.4904108750283998,1.47748221880524,-0.7085655847236898,1.2705497929800573,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,2,6,-1.3854753414980285,-1.2404495630280838,3.0688065573347156,0.5144510178031353,1.188254983463147,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,2,7,-0.6821480667253302,0.3425765647194776,0.8802494952127855,1.2704621792478616,1.256511169852284,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,2,8,-0.07309366324723397,0.1846806245003252,-0.01418846024450989,0.26059394931826224,1.2074402318702493,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,3,1,0.2606981360136816,-1.430447034830899,2.11816479418801,1.472001305316598,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,3,2,-2.754156445051541,2.4996553782219877,2.8772453990109836,-2.359534078958172,0.6495919789538456,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,3,3,1.8720398297429404,-1.167491853780571,0.6649682720167694,2.8587040096950664,1.0880415584339422,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,3,4,-2.2080656658191984,1.650673073476975,0.3200868920737388,0.3688986848818836,1.4692205755101324,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,3,5,2.2850662615029336,2.8278343830950123,3.141592653589793,2.939302903462272,1.0665183537025071,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,3,6,-3.1083183062598887,-3.0252387589220673,-1.9519928554221033,2.3883265307773907,0.7778973435305291,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,3,7,0.4201586859640749,-1.4764449263004686,-2.6471769538026164,-2.8690890716540696,0.7172153877113734,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,3,8,-0.09187082089384871,-2.468733545846627,2.0955004567160374,-2.8415425474451186,1.1153887807869074,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,4,1,2.790987038384915,-0.21956674766652193,2.1572257971716464,-0.0001436087090970728,0.8721326604419576,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,4,2,-1.28025668592016,-1.6696788783516567,-2.7423541611966966,-0.7339534128916649,0.115797174963508,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,4,3,1.9839645499220675,0.18303603256494685,0.5022260267121208,-2.140250741218312,0.6822882223541539,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,4,4,-3.1224025590325115,-2.7533745634999196,-1.3588256987798222,-2.369525173394702,0.7312187937534174,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,4,5,-0.026345512149822194,2.6212033214453054,-0.9245383501682549,-1.624664952925684,0.3931105832297164,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,4,6,-1.7614992757286263,-1.6141810312899671,-0.9261167778618337,1.9682114265463975,1.205514863020053,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,4,7,-2.737176434234952,-1.4392846535086141,-1.4681803805958897,-0.8521357921950562,1.1631089659982152,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,4,8,0.4915849572229517,1.2716778696710538,-0.46674218660765154,2.6925406148659046,1.2705883850627788,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,5,1,2.586329393605104,-3.1415161935947875,1.6044580659206369,0.7154044066864366,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,5,2,0.8851493095685463,-0.4347220321655531,1.2578680723472133,-3.0767274925031485,0.9228033341881062,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,5,3,-0.2090524324306931,-1.8147889724612878,0.547633386402032,1.6404207458227278,0.9538879011714022,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,5,4,-1.956403076176465,2.470577305594019,0.45738963572099806,-0.7322251223488704,0.8706398651982931,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,5,5,-0.3858540797289747,1.0806439166079105,-2.6039016545416698,-1.363780837838341,1.218944367343817,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,5,6,-1.5962641435674343,-1.0460860042581697,0.8167243280558008,0.02119172021143024,1.2250934123373933,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,5,7,-1.7487121164232284,1.1880791093883567,-1.5871956800492593,-0.8388683617323845,1.386918082607217,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,5,8,-2.2353110012267092,0.05410584452974485,0.8025292709208462,-1.6829889099015645,1.4368858419652473,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,7,1,-2.2889674202439907,-0.6199972161310816,2.415446831762231,0.0006442866220158231,8.840643248597019,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,7,2,-0.1707121823947957,-2.9573558936228523,-2.2825788095534136,0.019029270420143258,1.3100168989913126,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,7,3,-1.1157197447586722,-0.021011404940366633,-1.024125712382286,-1.9727686910713043,1.1435519074766833,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,7,4,-1.150546782900752,0.14715680499238035,-0.31076844938907117,-3.125243052535258,1.1297723755122469,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,7,5,2.211772026595792,-0.9450188861536643,1.5066264897734127,-2.6009139985294873,1.433639733977944,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
